canonical_name,aliases,hierarchy_level,target_shapefile,target_attribute,target_value,vertiente_hint,parent_canonical,notes
Puriscal - Los Santos,puriscal|los santos|acosta|tarrazu,region_other,regiones_botanicas,Nombre,Puriscal - Los Santos,pacifico,,Includes cantons Puriscal/Acosta/Tarrazú subregion
Turrubares,turrubares,region_other,regiones_botanicas,Nombre,Turrubares,pacifico,,
Punta Burica,punta burica,region_other,regiones_botanicas,Nombre,Punta Burica,pacifico,,
Coto Colorado,coto colorado,region_other,regiones_botanicas,Nombre,Coto Colorado,pacifico,,
Filas Chonta y Nara,filas chonta|filas nara|chonta y nara|fila chonta|fila nara|fila chonta y nara,region_other,regiones_botanicas,Nombre,Filas Chonta y Nara,pacifico,,
Parque Nacional Carara,parque nacional carara|p.n. carara|pn carara|carara|montanas jamaica,park,protected_areas,nombre_asp,Carara,pacifico,,P.N. Carara — Pacific mid-elevation park
Parque Nacional Tortuguero,parque nacional tortuguero|p.n. tortuguero|pn tortuguero|tortuguero,park,protected_areas,nombre_asp,Tortuguero,carib,,P.N. Tortuguero — Caribbean lowland park
Parque Nacional Braulio Carrillo,parque nacional braulio carrillo|p.n. braulio carrillo|braulio carrillo,park,protected_areas,nombre_asp,Braulio Carrillo,carib,,P.N. Braulio Carrillo
Parque Nacional Cahuita,parque nacional cahuita|p.n. cahuita|cahuita,park,protected_areas,nombre_asp,Cahuita,carib,,P.N. Cahuita — Caribbean coast
Parque Nacional Chirripó,parque nacional chirripo|p.n. chirripo|chirripo,park,protected_areas,nombre_asp,Chirripó,ambas,,P.N. Chirripó — highest peak
Reserva Biológica Carara,reserva biologica carara|r.b. carara,park,protected_areas,nombre_asp,Carara,pacifico,,Reserve Carara
Parque Nacional Guanacaste,parque nacional guanacaste|p.n. guanacaste|pn guanacaste,park,protected_areas,nombre_asp,Guanacaste,pacifico,,P.N. Guanacaste — Guanacaste dry forest
Parque Nacional Manuel Antonio,parque nacional manuel antonio|p.n. manuel antonio|pn manuel antonio|manuel antonio,park,protected_areas,nombre_asp,Manuel Antonio,pacifico,,P.N. Manuel Antonio — Pacific coast park
Parque Internacional La Amistad,la amistad|parque la amistad|p.n. la amistad|amistad,park,protected_areas,nombre_asp,La Amistad,ambas,,La Amistad International Park
Parque Nacional Corcovado,parque nacional corcovado|p.n. corcovado|corcovado,park,protected_areas,nombre_asp,Corcovado,pacifico,,P.N. Corcovado — Osa Peninsula
Puriscal (cantón),puriscal,canton,cantones,CANTÓN,Puriscal,pacifico,San José,Canton Puriscal — subregion of Puriscal-Los Santos
Tarrazú (cantón),tarrazu,canton,cantones,CANTÓN,Tarrazú,pacifico,San José,Canton Tarrazú
Acosta (cantón),acosta,canton,cantones,CANTÓN,Acosta,pacifico,San José,Canton Acosta
La Unión (cantón),la union|tres rios de cartago,canton,cantones,CANTÓN,La Unión,ambas,Cartago,Canton La Unión — hosts district Tres Ríos
Limón (cantón),limon|puerto limon|vecindad de puerto limon,canton,cantones,CANTÓN,Limón,carib,Limón,Canton Limón — Puerto Limón city
Bagaces (cantón),bagaces,canton,cantones,CANTÓN,Bagaces,pacifico,Guanacaste,Canton Bagaces in Guanacaste
Tres Ríos (distrito),tres rios|tres rios de cartago,district,distritos,DISTRITO,Tres Ríos,ambas,La Unión,District Tres Ríos in cantón La Unión
bosque húmedo,bosque humedo|bosque himedo|bosque htimedo|bosque htmedo|bosque himedo|bh|b. humedo,forest_type,holdridge,nombre,BOSQUE HUMEDO,,,"Holdridge: húmedo — matches zones with MUY HUMEDO in nombre"
bosque muy húmedo,bosque muy humedo|bosque muy himedo|bosque muy htimedo|bosque muy htmedo|bmh|b. muy humedo,forest_type,holdridge,nombre,BOSQUE MUY HUMEDO,,,"Holdridge: muy húmedo"
bosque pluvial,bosque pluvial|b. pluvial|pluvial,forest_type,holdridge,nombre,BOSQUE PLUVIAL,,,"Holdridge: pluvial — highest moisture"
bosque nuboso,bosque nuboso|nuboso|cloud forest,forest_type,holdridge,piso,MONTANO BAJO,,,"Nuboso tends to be in montano bajo / montano elevations"
bosque seco,bosque seco|b. seco|matorral seco|seco,forest_type,holdridge,nombre,BOSQUE SECO,,,"Holdridge: seco — may not exist in current shapefile coverage"
páramo,paramo|paramos|paramos pluviales|subalpino,forest_type,holdridge,nombre,PARAMO,,,"High-elevation páramo"
